DATE	2022-10-27							
CONTRIBUTORS	Christina D'Ambrogio;Stella Namuyige;Kevin Chen;							
								
QUESTIONS								
CATEGORY	SCORE VALUE	QUESTION TYPE	QUESTION TEXT	ANSWER	MULTIPLE CHOICES	MEDIA FILE	HALF ALLOWED	TIME LIMIT
FEATURE REQUEST	"When opening a question that was already scored, the teams that scored points from it before should already be highlighted (for when we miss a team)"							
								
QUESTION IDEAS	"Themes: Game of thrones, sci-fi"							
QUESTION IDEAS	Guess song/artist from two lines of lyrics.							
QUESTION IDEAS	Image/Video based questions							
								
CRITICISMS	"Most categories were catered to younger audience. Maybe specialized category for older members of audience, like '80s pop culture?"							
CRITICISMS	Need to be more clear what answers are considered acceptable before answer is revealed. ie. Jay Z's full name requires middle name inclusion or is first name/last name sufficient? (anticipate questions like this and consider if we need halfAllowed)							
CRITICISMS	How important is spelling? Is it ok if it's phonetically correct? Need to be consistent for all questions							
CRITICISMS	"Some questions were too difficult for their point value. Could have a +/- for answers like ""be within 3 years of the answer"""							
								
TIE BREAKER	REVISE ANSWER	How many people currently work at Veeva?						
								
Canadian Trivia Questions and Answers								
								
1. WHICH CANADIAN CITY IS CONSIDERED �HOLLYWOOD NORTH�?								
								
"While you may think Toronto is the answer, the true (and original) �Hollywood North� is Vancouver!�"								
People started calling Vancouver �Hollywood North� in the 1970s. The city is second in TV production and third for feature film production in North America. (Los Angeles and New York are first and second).								
"Vancouver plays host to many American series and movies such as Riverdale, Upload and Deadpool."								
T.O. is also a popular filming location and is sometimes included as part of �Hollywood North�.�								
								
2. HOW MANY POINTS DOES THE MAPLE LEAF ON THE FLAG HAVE?								
								
Our flag has 11 points! But here�s a little more Canadian trivia �								
Did you know the Canadian flag was designed with 13 points? It was changed to 11 points because it was hard to see the maple leaf shape from a distance.								
								
3. WHICH CITY IS HOME TO NORTH AMERICA�S LARGEST MALL?								
								
"It�s Edmonton, Alberta � home of the West Edmonton Mall. This massive shopping center is 5.3 million square feet and has an entire waterpark within its walls."								
								
4. WHICH CANADIAN CHAIN FIRST OPENED IN HAMILTON IN 1964								
								
"It�s the Canadian classic, Tim Hortons! And has it ever grown. As of 2020, the coffee chain had over 4,949 restaurants across the globe."								
								
5. WHERE IS CANADA�S MOST VISITED NATIONAL HISTORIC SITE?								
								
"If you head over to Halifax, Nova Scotia, you can visit the Halifax Citadel National Historic Site of Canada! Built as a military fortification, it�s now a tourist�s paradise. The site has a rich history and a beautiful view of the city.��With it�s history, delicious lobster, and beautiful views, it�s no wonder Halifax made the�23 most magical places Canadians�are visiting during the summer."								
								
6. WHICH CITY HOSTS NORTH AMERICA�S LARGEST SINGLE DAY PARADE? (BONUS POINTS IF YOU CAN GUESS THE PARADE!)								
								
"It�s the Carabina Grand Parade in Toronto, Ontario! With a parade route of 3.6 km and taking over ten hours from start to finish, it�s definitely a celebration to watch out for. The parade is part of Toronto�s 3-week long Caribbean Caribana festival. The festival started in 1967 and is the biggest cultural festival in North America.�"								
								
7. WHAT IS CANADA�S NATIONAL SPORT?								
								
"Trick question � We�ve got two! Hockey and Lacrosse are our national sports, as declared by the �National Sports of Canada Act�."								
"(If you got this one, you may be a Canadian trivia Wiz!)"								
								
8. EAT UP! WHICH CITY HAS THE MOST RESTAURANTS PER CAPITA IN CANADA?								
								
"Kudos if you guess Victoria, BC! While reports vary, most studies say Victoria leads the pack with 4.6 restaurants per 1,000 people. Runners up include Vancouver, Niagara Falls and Montreal.�"								
								
9. WHICH CANADIAN CITY RANKS AS THE MOST EDUCATED IN THE COUNTRY?								
								
"With 1/3 of the city�s adult population having a university degree, the answer is our national capital � Ottawa. But that doesn�t mean it�s the most intelligent city in Canada. That award goes to�Winnipeg, Manitoba."								
								
10. WHICH CITY WAS HOME TO THE FIRST NORTH AMERICAN YMCA?								
								
It all started in Montreal in 1851!								
"Bonus Canadian Trivia Fact: There are now over 1,000 YMCAs in Canada.�"								
								
11. WHAT IS THE MOST PURCHASED GROCERY ITEM IN CANADA?								
								
"It�s the Canadian classic, Kraft Dinner! Surveys show it is our nation�s go-to pick when we go shopping, and it�s hard to deny considering how quick and tasty it is."								
								
12. WHAT FRUIT DOES CANADA EXPORT THE MOST OF?								
								
"The answer is blueberries! Canada exports tens of millions of pounds of blueberries and is the world�s second largest producer of the berry. In fact, blueberries account for 61.2% of our export dollars."								
								
13. WHAT IS CANADA�S OLDEST CITY?								
								
"Established in 1497, St. Johns, Newfoundland is the oldest city in Canada. The next established city was Quebec City but that wasn�t until 1608."								
								
14. HOW MANY TIME ZONES DOES CANADA HAVE?								
								
"There are six time zones across Canada: Pacific, Mountain, Central, Eastern, Atlantic, and Newfoundland.�"								
								
15. WHICH CANADIAN CITY HAS THE MOST TOURISTS?								
								
This honour goes to Toronto with over 27.5 million visitors a year!�								
								
"16. ONLY ONE PROVINCE IS OFFICIALLY BILINGUAL, CAN YOU GUESS WHICH ONE?"								
								
"Canada, as a country, is officially bilingual, but most provinces are either French or English. New Brunswick is the only province where French and English are both official languages.�"								
								
17. HOW MANY OCEANS BORDER CANADA?								
								
"There are three oceans total. The Pacific, the Atlantic, and the Arctic all surround our nation.�"								
								
18. WHICH PROVINCE IS HOME TO CANADA�S TALLEST MOUNTAIN?								
								
"Mount Logan is Canada�s highest peak at 5,959 meters, and it stands tall in the Yukon! It�s also believed to have the largest base circumference in the world.��"								
The only higher mountain in North America is Denali in Alaska.								
								
19. IN WHICH PROVINCE CAN YOU FIND�A PROVINCIAL PARK NAMED �BLOW ME DOWN� AND�THE CITIES OF �GOOBIES� AND �COME BY CHANCE�?								
								
These wildly named places are all on the East Coast in the province of Newfoundland! This picture specifically is from Blow Me Down Provincial Park.								
								
20. Last One! 80% of the world�s supply of what comes from Canada?								
								
80% of the world�s supply of maple syrup comes from Canada! Eat up!								
